Trial,CorrectResponse,Response,Correct,ResponseTime,Offset,Direction,Reversals,StepSize
1,1,1,True,7.706863880157471,64.00,,0,4
2,1,1,True,0.9629392623901367,64.00,down,0,4
3,3,3,True,2.1096487045288086,16.00,,0,4
4,1,1,True,0.9807367324829102,16.00,down,0,4
5,1,1,True,0.794274091720581,4.00,,0,4
6,1,1,True,0.7579729557037354,4.00,down,0,4
7,1,1,True,0.7043030261993408,1.00,,0,4
8,3,3,True,0.6172511577606201,1.00,down,0,1
9,3,3,True,0.5917000770568848,1.00,,0,1
10,1,3,False,0.6378211975097656,1.00,up,1,1
11,1,1,True,0.656606912612915,1.41,,1,1
12,3,3,True,0.7823178768157959,1.41,down,2,1
13,1,3,False,0.6782200336456299,1.00,up,3,1
14,3,3,True,0.7312560081481934,1.41,,3,1
15,1,1,True,0.6445550918579102,1.41,down,4,1
16,3,3,True,0.5443971157073975,1.00,,4,1
17,1,1,True,0.6165852546691895,1.00,down,4,1
18,3,1,False,1.0962870121002197,1.00,up,5,1
19,1,3,False,0.6614530086517334,1.41,up,5,1
20,1,1,True,2.4183130264282227,2.00,,5,1
21,3,3,True,0.7211527824401855,2.00,down,6,1
22,1,1,True,0.6552221775054932,1.41,,6,1
23,1,1,True,0.578441858291626,1.41,down,6,1
24,3,1,False,0.6611039638519287,1.00,up,7,1
25,3,3,True,0.5984189510345459,1.41,,7,1
26,1,3,False,0.6815390586853027,1.41,up,7,1
27,1,1,True,0.5600478649139404,2.00,,7,1
28,3,1,False,3.0908069610595703,2.00,up,7,2
29,1,3,False,0.5876972675323486,4.00,up,7,4
30,3,3,True,0.692453145980835,16.00,,7,4
31,3,3,True,0.6849231719970703,16.00,down,8,2
32,1,1,True,0.8288397789001465,8.00,,8,2
33,3,3,True,0.5875403881072998,8.00,down,8,2
34,1,1,True,0.5321938991546631,4.00,,8,2
35,1,1,True,0.4753751754760742,4.00,down,8,2
36,1,3,False,0.5353260040283203,2.00,up,9,1
37,3,3,True,0.8111059665679932,2.83,,9,1
38,3,1,False,0.518035888671875,2.83,up,9,1
39,1,1,True,0.5014181137084961,4.00,,9,1
40,3,3,True,0.5578758716583252,4.00,down,10,1
41,1,1,True,0.5297060012817383,2.83,,10,1
42,1,3,False,0.6038639545440674,2.83,up,11,1
43,3,1,False,0.5793960094451904,4.00,up,11,1
44,1,1,True,0.5559148788452148,5.66,,11,1
45,1,1,True,0.6122748851776123,5.66,down,12,1
46,3,3,True,0.5824949741363525,4.00,,12,1
47,3,1,False,0.5723781585693359,4.00,up,13,1
48,1,1,True,0.563544750213623,5.66,,13,1
49,3,3,True,0.5146641731262207,5.66,down,14,1
50,1,1,True,0.5113928318023682,4.00,,14,1
