Trial,CorrectResponse,Response,Correct,Offset,StepSize,Reversals,Direction
1,1,3,False,64.00,2,1,down
2,1,3,False,64.00,2,1,up
3,3,3,True,64.00,2,1,up
4,3,3,True,64.00,4,1,down
5,3,3,True,16.00,4,1,down
6,1,3,False,16.00,2,2,down
7,1,1,True,32.00,2,2,up
8,3,3,True,32.00,2,2,down
9,1,1,True,16.00,2,2,down
10,1,3,False,16.00,1,3,down
11,3,3,True,22.63,1,3,up
12,3,3,True,22.63,1,3,down
13,3,3,True,16.00,1,3,down
14,3,3,True,16.00,2,3,down
15,3,3,True,8.00,2,3,down
16,3,3,True,8.00,4,3,down
